pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         607076 function calls (593376 primitive calls) in 8.885 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.034    0.000 fromnumeric.py:997(argsort)
        2    0.000    0.000    0.033    0.017 _procrustes.py:1(<module>)
      100    0.033    0.000    0.033    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      200    0.006    0.000    0.032    0.000 renderer.py:149(renderPoints)
      316    0.001    0.000    0.031    0.000 overrides.py:166(decorator)
        1    0.000    0.000    0.030    0.030 PyGL.py:15(__init__)
     4233    0.006    0.000    0.030    0.000 arraydatatype.py:126(from_param)
        2    0.000    0.000    0.028    0.014 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.028    0.028 __init__.py:3250(_initialize_master_working_set)
      101    0.000    0.000    0.028    0.000 __init__.py:1132(resource_exists)
    12473    0.010    0.000    0.028    0.000 wrapper.py:467(calculate_cArgs)
      300    0.001    0.000    0.026    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.026    0.026 pyparsing.py:26(<module>)
      514    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      100    0.003    0.000    0.026    0.000 renderer.py:82(setVertices)
     9342    0.007    0.000    0.026    0.000 arraydatatype.py:33(__call__)
    87/77    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
      202    0.001    0.000    0.025    0.000 __init__.py:354(get_provider)
    87/77    0.008    0.000    0.025    0.000 {built-in method _imp.exec_dynamic}
      300    0.001    0.000    0.025    0.000 _methods.py:36(_sum)
      516    0.025    0.000    0.025    0.000 {method 'read' of '_io.BufferedReader' objects}
       13    0.000    0.000    0.025    0.002 plugins.py:13(load)
       13    0.000    0.000    0.025    0.002 plugins.py:33(importByName)
     2424    0.024    0.000    0.024    0.000 {built-in method numpy.array}
       16    0.000    0.000    0.024    0.002 __init__.py:611(add_entry)
      101    0.000    0.000    0.024    0.000 __init__.py:1148(resource_stream)
       56    0.000    0.000    0.023    0.000 __init__.py:2037(find_on_path)
      100    0.000    0.000    0.023    0.000 <__array_function__ internals>:2(dot)
      707    0.010    0.000    0.023    0.000 wrapper.py:1498(wrapper)
      202    0.001    0.000    0.023    0.000 __init__.py:1581(__init__)
      100    0.002    0.000    0.022    0.000 renderer.py:88(setDegrees)
      100    0.002    0.000    0.022    0.000 camera.py:17(pos)
     1000    0.003    0.000    0.021    0.000 arrayhelpers.py:111(asArraySize)
        1    0.000    0.000    0.021    0.021 multiarray.py:1(<module>)
        2    0.000    0.000    0.021    0.010 GL_4_1.py:1(<module>)
     1304    0.002    0.000    0.021    0.000 __init__.py:65(createFunction)
        1    0.000    0.000    0.021    0.021 index_tricks.py:1(<module>)
      322    0.020    0.000    0.020    0.000 {built-in method builtins.compile}
      103    0.000    0.000    0.019    0.000 sre_compile.py:598(_code)
       26    0.000    0.000    0.019    0.001 pyparsing.py:2779(__init__)
     1305    0.013    0.000    0.019    0.000 baseplatform.py:313(nullFunction)
     1704    0.002    0.000    0.019    0.000 numpymodule.py:145(asArray)
        1    0.000    0.000    0.018    0.018 _pickle.py:1(<module>)
       33    0.000    0.000    0.018    0.001 __init__.py:339(__init__)
      202    0.002    0.000    0.018    0.000 __init__.py:1585(_setup_prefix)
    15663    0.018    0.000    0.018    0.000 error.py:208(glCheckError)
        2    0.000    0.000    0.018    0.009 GL_4_2.py:1(<module>)
      100    0.000    0.000    0.018    0.000 <__array_function__ internals>:2(inv)
        1    0.000    0.000    0.018    0.018 overrides.py:1(<module>)
     2135    0.009    0.000    0.018    0.000 ntpath.py:180(split)
     1400    0.001    0.000    0.018    0.000 _asarray.py:141(ascontiguousarray)
      100    0.015    0.000    0.017    0.000 linalg.py:482(inv)
      620    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.017    0.017 distance.py:1(<module>)
     1704    0.006    0.000    0.017    0.000 numpymodule.py:153(contiguous)
       32    0.017    0.001    0.017    0.001 {built-in method _ctypes.LoadLibrary}
      100    0.000    0.000    0.016    0.000 <__array_function__ internals>:2(sum)
  905/103    0.006    0.000    0.016    0.000 sre_compile.py:71(_compile)
        2    0.000    0.000    0.016    0.008 GL_3_0.py:1(<module>)
        1    0.000    0.000    0.016    0.016 numeric.py:1(<module>)
        1    0.000    0.000    0.016    0.016 parser.py:5(<module>)
        1    0.000    0.000    0.016    0.016 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _basic.py:1(<module>)
      100    0.001    0.000    0.015    0.000 fromnumeric.py:2092(sum)
        1    0.000    0.000    0.015    0.015 specifiers.py:4(<module>)
        1    0.000    0.000    0.015    0.015 simulator.py:37(__init__)
        1    0.000    0.000    0.015    0.015 feedparser.py:5(<module>)
     3208    0.015    0.000    0.015    0.000 wrapper.py:100(__setattr__)
      114    0.000    0.000    0.015    0.000 converters.py:248(__call__)
      100    0.000    0.000    0.015    0.000 _methods.py:32(_amin)
      100    0.001    0.000    0.015    0.000 fromnumeric.py:73(_wrapreduction)
        1    0.000    0.000    0.014    0.014 __init__.py:569(_build_master)
        1    0.000    0.000    0.014    0.014 __init__.py:556(__init__)
        1    0.000    0.000    0.014    0.014 renderer.py:56(__init__)
        2    0.001    0.001    0.014    0.007 GL_1_0.py:1(<module>)
     1414    0.002    0.000    0.014    0.000 numpymodule.py:209(from_param)
      101    0.000    0.000    0.013    0.000 __init__.py:1403(has_resource)
        1    0.000    0.000    0.013    0.013 uarray.py:1(<module>)
      495    0.002    0.000    0.013    0.000 wrapper.py:203(setInputArraySize)
     1028    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      200    0.001    0.000    0.013    0.000 GL_2_0.py:442(glVertexAttribPointer)
      100    0.000    0.000    0.013    0.000 _methods.py:28(_amax)
      706    0.001    0.000    0.012    0.000 wrapper.py:86(__init__)
        1    0.000    0.000    0.012    0.012 npyio.py:1(<module>)
        1    0.000    0.000    0.012    0.012 error.py:1(<module>)
      500    0.002    0.000    0.012    0.000 images.py:450(__call__)
        1    0.000    0.000    0.012    0.012 rotation.py:1(<module>)
      101    0.000    0.000    0.012    0.000 __init__.py:1612(get_resource_stream)
        1    0.000    0.000    0.012    0.012 specifiers.py:275(Specifier)
        1    0.000    0.000    0.012    0.012 _distributor_init.py:2(<module>)
        1    0.000    0.000    0.012    0.012 pyparsing.py:5399(pyparsing_common)
      700    0.002    0.000    0.012    0.000 arrayhelpers.py:49(__call__)
     4226    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
5074/2537    0.009    0.000    0.011    0.000 constant.py:14(__new__)
      109    0.010    0.000    0.011    0.000 {built-in method io.open}
    12039    0.005    0.000    0.011    0.000 sre_parse.py:254(get)
19854/19706    0.009    0.000    0.011    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.011    0.011 _policybase.py:1(<module>)
     1414    0.011    0.000    0.011    0.000 numpymodule.py:40(dataPointer)
        1    0.000    0.000    0.011    0.011 _rotation_groups.py:1(<module>)
        1    0.000    0.000    0.011    0.011 simulator.py:6(buildShader)
      100    0.000    0.000    0.011    0.000 <__array_function__ internals>:2(array_split)
      111    0.011    0.000    0.011    0.000 {built-in method nt.listdir}
       84    0.000    0.000    0.011    0.000 __init__.py:2124(distributions_from_metadata)
        1    0.000    0.000    0.011    0.011 sysfont.py:21(<module>)
     3364    0.008    0.000    0.011    0.000 ntpath.py:124(splitdrive)
      124    0.000    0.000    0.011    0.000 __init__.py:1603(_has)
        1    0.000    0.000    0.011    0.011 defmatrix.py:1(<module>)
        1    0.000    0.000    0.011    0.011 csr.py:1(<module>)
