pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         607076 function calls (593376 primitive calls) in 8.885 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3816    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     2263    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        2    0.000    0.000    0.001    0.000 stencil_texturing.py:1(<module>)
        2    0.000    0.000    0.001    0.000 texture_query_levels.py:1(<module>)
        2    0.000    0.000    0.001    0.000 robust_buffer_access_behavior.py:1(<module>)
      300    0.001    0.000    0.001    0.000 contextdata.py:31(getContext)
        1    0.000    0.000    0.001    0.001 copy.py:1(<module>)
        2    0.000    0.000    0.001    0.000 shading_language_packing.py:1(<module>)
      514    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.001    0.000 conservative_depth.py:1(<module>)
      504    0.000    0.000    0.001    0.000 ctypesarrays.py:18(from_param)
        1    0.000    0.000    0.001    0.001 renderer.py:37(setupGL)
       58    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      621    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
      514    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
        2    0.000    0.000    0.001    0.000 shading_language_420pack.py:1(<module>)
        5    0.000    0.000    0.001    0.000 decorator.py:202(create)
        2    0.000    0.000    0.001    0.000 fnmatch.py:48(filter)
      649    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
     2765    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1204(setResultsName)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        2    0.000    0.000    0.001    0.000 explicit_uniform_location.py:1(<module>)
       44    0.000    0.000    0.001    0.000 GL_4_3.py:12(_f)
      600    0.001    0.000    0.001    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
        2    0.000    0.000    0.001    0.000 shader_image_size.py:1(<module>)
      640    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.001    0.001 acceleratesupport.py:1(<module>)
      273    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
      313    0.001    0.000    0.001    0.000 enum.py:368(__setattr__)
       34    0.000    0.000    0.001    0.000 imaging.py:12(_f)
      500    0.000    0.000    0.001    0.000 lists.py:168(arrayByteCount)
      100    0.001    0.000    0.001    0.000 _buffers.py:80(__del__)
       26    0.000    0.000    0.001    0.000 core.py:6660(__init__)
      362    0.000    0.000    0.001    0.000 version.py:114(_parse_version_parts)
       25    0.000    0.000    0.001    0.000 __init__.py:1406(_get_metadata_path)
       54    0.000    0.000    0.001    0.000 baseplatform.py:126(wrapLogging)
      820    0.001    0.000    0.001    0.000 functools.py:63(wraps)
      175    0.000    0.000    0.001    0.000 inspect.py:2477(__init__)
     1000    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6665(getdoc)
        4    0.000    0.000    0.001    0.000 GL_2_0.py:254(glGetShaderiv)
        1    0.000    0.000    0.001    0.001 sysconfig.py:100(_safe_realpath)
       42    0.000    0.000    0.001    0.000 ntpath.py:214(basename)
       67    0.000    0.000    0.001    0.000 images.py:430(setDimensionsAsInts)
       52    0.000    0.000    0.001    0.000 core.py:900(__init__)
     2524    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      103    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
       55    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
        1    0.000    0.000    0.001    0.001 model.py:15(randomPointsOnSphere)
      100    0.000    0.000    0.001    0.000 linalg.py:116(_makearray)
       29    0.000    0.000    0.001    0.000 lazywrapper.py:20(wrap)
       21    0.000    0.000    0.001    0.000 __init__.py:2896(<listcomp>)
       30    0.000    0.000    0.001    0.000 GL_1_1.py:13(_f)
       31    0.000    0.000    0.001    0.000 glob.py:116(_iterdir)
      471    0.000    0.000    0.001    0.000 copyreg.py:90(__newobj__)
        2    0.000    0.000    0.001    0.000 pyparsing.py:2863(__init__)
      159    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.001    0.001 difflib.py:1(<module>)
     1544    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       14    0.000    0.000    0.000    0.000 pyparsing.py:2026(__call__)
      200    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
      195    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       22    0.000    0.000    0.000    0.000 debug.py:12(_f)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
       89    0.000    0.000    0.000    0.000 ctypesloader.py:94(buildFunction)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
      901    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        3    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(_held_figure)
        3    0.000    0.000    0.000    0.000 decorator.py:225(decorate)
      974    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       84    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
        2    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
      164    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        8    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      420    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
       12    0.000    0.000    0.000    0.000 GL_2_0.py:422(glGetUniformLocation)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
       42    0.000    0.000    0.000    0.000 __init__.py:685(add)
       18    0.000    0.000    0.000    0.000 wrapper.py:408(finaliseCall)
      124    0.000    0.000    0.000    0.000 converters.py:235(getSize)
      122    0.000    0.000    0.000    0.000 baseplatform.py:155(<listcomp>)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       42    0.000    0.000    0.000    0.000 __init__.py:1317(safe_name)
      501    0.000    0.000    0.000    0.000 strings.py:38(asArray)
       86    0.000    0.000    0.000    0.000 version.py:343(_cmpkey)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
      150    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      229    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
     1165    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
      112    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       48    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       59    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      646    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 util.py:55(find_library)
      100    0.000    0.000    0.000    0.000 buffers.py:40(from_param)
   126/98    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      514    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
     19/4    0.000    0.000    0.000    0.000 pyparsing.py:3319(streamline)
      103    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      700    0.000    0.000    0.000    0.000 converters.py:267(__call__)
       10    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       58    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       19    0.000    0.000    0.000    0.000 GL_3_2.py:12(_f)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        5    0.000    0.000    0.000    0.000 decorator.py:169(make)
       11    0.000    0.000    0.000    0.000 utils.py:75(__call__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3000(DistInfoDistribution)
      616    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
      397    0.000    0.000    0.000    0.000 enum.py:557(__new__)
        2    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
        4    0.000    0.000    0.000    0.000 core.py:122(doc_note)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
        6    0.000    0.000    0.000    0.000 typing.py:799(__getitem__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     1796    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      332    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'seed' of 'numpy.random.mtrand.RandomState' objects}
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
        2    0.000    0.000    0.000    0.000 __init__.py:1431(get_metadata_lines)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
       54    0.000    0.000    0.000    0.000 baseplatform.py:108(errorChecking)
        2    0.000    0.000    0.000    0.000 __init__.py:1416(get_metadata)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1489(_array_str_implementation)
      621    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      426    0.000    0.000    0.000    0.000 typing.py:643(_is_dunder)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        4    0.000    0.000    0.000    0.000 re.py:221(split)
        2    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
       84    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
       11    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
     1407    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
      100    0.000    0.000    0.000    0.000 tempfile.py:84(_infer_return_type)
      448    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      961    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 images.py:595(compressedImageFunction)
        1    0.000    0.000    0.000    0.000 numpymodule.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 ntpath.py:579(_getfinalpathname_nonstrict)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        6    0.000    0.000    0.000    0.000 typing.py:815(__getitem_inner__)
      200    0.000    0.000    0.000    0.000 {built-in method glm.scale}
        1    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
     1249    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      261    0.000    0.000    0.000    0.000 arrayhelpers.py:88(asArrayType)
       19    0.000    0.000    0.000    0.000 GL_1_5.py:12(_f)
     15/4    0.000    0.000    0.000    0.000 pyparsing.py:3762(streamline)
        2    0.000    0.000    0.000    0.000 helper.py:1(<module>)
      288    0.000    0.000    0.000    0.000 baseplatform.py:130(finalArgType)
        4    0.000    0.000    0.000    0.000 pathlib.py:1067(_opener)
     1118    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 proactor_events.py:1(<module>)
     1700    0.000    0.000    0.000    0.000 ctypespointers.py:48(asArray)
       12    0.000    0.000    0.000    0.000 GL_4_2.py:12(_f)
       30    0.000    0.000    0.000    0.000 inspect.py:2760(__init__)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1615(_get)
       23    0.000    0.000    0.000    0.000 converters.py:42(finalise)
     11/6    0.000    0.000    0.000    0.000 typing.py:347(__getitem__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
       14    0.000    0.000    0.000    0.000 hashlib.py:123(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       14    0.000    0.000    0.000    0.000 numpymodule.py:110(zeros)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
      189    0.000    0.000    0.000    0.000 arrayhelpers.py:102(asArrayTypeSize)
       44    0.000    0.000    0.000    0.000 version.py:236(__str__)
      230    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       20    0.000    0.000    0.000    0.000 enum.py:119(__prepare__)
        1    0.000    0.000    0.000    0.000 opcode.py:2(<module>)
       15    0.000    0.000    0.000    0.000 GL_3_1.py:12(_f)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        2    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x0000000005E6E0D0}
      500    0.000    0.000    0.000    0.000 numpymodule.py:132(arrayByteCount)
       26    0.000    0.000    0.000    0.000 core.py:927(__init__)
        3    0.000    0.000    0.000    0.000 constants.py:1(<module>)
     2071    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1500    0.000    0.000    0.000    0.000 ctypespointers.py:18(from_param)
        2    0.000    0.000    0.000    0.000 GL_2_0.py:431(glGetAttribLocation)
       18    0.000    0.000    0.000    0.000 core.py:1003(__init__)
      516    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       41    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
        4    0.000    0.000    0.000    0.000 inspect.py:1090(getfullargspec)
      100    0.000    0.000    0.000    0.000 core.py:6293(isMaskedArray)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
      504    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        2    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
      200    0.000    0.000    0.000    0.000 ctypespointers.py:21(dataPointer)
      147    0.000    0.000    0.000    0.000 __init__.py:2637(key)
       74    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      683    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      935    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       53    0.000    0.000    0.000    0.000 enum.py:473(_get_mixins_)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       90    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      218    0.000    0.000    0.000    0.000 __init__.py:3151(_always_object)
        9    0.000    0.000    0.000    0.000 typing.py:686(copy_with)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        6    0.000    0.000    0.000    0.000 images.py:588(_setDataSize)
       42    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
      735    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
      100    0.000    0.000    0.000    0.000 linalg.py:111(get_linalg_error_extobj)
        5    0.000    0.000    0.000    0.000 decorator.py:95(__init__)
        1    0.000    0.000    0.000    0.000 baseplatform.py:380(__nonzero__)
      100    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
        2    0.000    0.000    0.000    0.000 decorator.py:240(decorator)
       20    0.000    0.000    0.000    0.000 enum.py:505(_find_new_)
      500    0.000    0.000    0.000    0.000 {method 'get_width' of 'pygame.Surface' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:325(<listcomp>)
      219    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       16    0.000    0.000    0.000    0.000 __init__.py:1967(find_distributions)
        8    0.000    0.000    0.000    0.000 hashlib.py:79(__get_builtin_constructor)
      330    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      241    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
       10    0.000    0.000    0.000    0.000 vertex_attrib_64bit.py:12(_f)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
      227    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       39    0.000    0.000    0.000    0.000 typing.py:120(_type_check)
        1    0.000    0.000    0.000    0.000 ssl.py:182(_TLSAlertType)
      103    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
      240    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
        8    0.000    0.000    0.000    0.000 enum.py:822(__or__)
        1    0.000    0.000    0.000    0.000 renderer.py:52(setViewport)
        1    0.000    0.000    0.000    0.000 lists.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
        9    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
      103    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 _buffers.py:2(<module>)
        1    0.000    0.000    0.000    0.000 locks.py:1(<module>)
       50    0.000    0.000    0.000    0.000 wrapper.py:106(pyArgIndex)
      100    0.000    0.000    0.000    0.000 linalg.py:209(_assert_stacked_square)
      402    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       10    0.000    0.000    0.000    0.000 __init__.py:183(environ_key)
        4    0.000    0.000    0.000    0.000 six.py:91(__get__)
       11    0.000    0.000    0.000    0.000 vertex_buffer_object.py:12(_f)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
      185    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 strings.py:1(<module>)
       10    0.000    0.000    0.000    0.000 uniform_buffer_object.py:12(_f)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
      811    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       15    0.000    0.000    0.000    0.000 arrayprint.py:477(wrapper)
       10    0.000    0.000    0.000    0.000 viewport_array.py:12(_f)
        4    0.000    0.000    0.000    0.000 getlimits.py:365(__new__)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       17    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
      600    0.000    0.000    0.000    0.000 fromnumeric.py:549(_swapaxes_dispatcher)
        1    0.000    0.000    0.000    0.000 vbo.py:1(<module>)
        4    0.000    0.000    0.000    0.000 six.py:80(_import_module)
        2    0.000    0.000    0.000    0.000 six.py:114(_resolve)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1677(MemoizedZipManifests)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
      118    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        4    0.000    0.000    0.000    0.000 pathlib.py:1030(__new__)
       68    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
      134    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        2    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wrapper.py:1381(wrapperCall)
      200    0.000    0.000    0.000    0.000 linalg.py:121(isComplexType)
      467    0.000    0.000    0.000    0.000 deprecation.py:7(_deprecated)
        1    0.000    0.000    0.000    0.000 baseplatform.py:197(createBaseFunction)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
       12    0.000    0.000    0.000    0.000 abc.py:89(register)
       53    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      105    0.000    0.000    0.000    0.000 _bytes.py:55(as_8_bit)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4450(delimitedList)
       30    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)
        1    0.000    0.000    0.000    0.000 plistlib.py:727(_BinaryPlistWriter)
        6    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
      402    0.000    0.000    0.000    0.000 multiarray.py:145(concatenate)
      103    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       10    0.000    0.000    0.000    0.000 extras.py:237(__init__)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pointers.py:196(glDrawElementsTyped)
      201    0.000    0.000    0.000    0.000 _internal.py:795(<genexpr>)
        9    0.000    0.000    0.000    0.000 GL_4_4.py:12(_f)
      100    0.000    0.000    0.000    0.000 linalg.py:203(_assert_stacked_2d)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
       11    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      425    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 pathlib.py:669(_from_parts)
      160    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      336    0.000    0.000    0.000    0.000 version.py:207(<genexpr>)
       17    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       72    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 core.py:6358(__new__)
        7    0.000    0.000    0.000    0.000 typing.py:1057(__init_subclass__)
    35/14    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        7    0.000    0.000    0.000    0.000 functools.py:524(decorating_function)
      201    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      198    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       10    0.000    0.000    0.000    0.000 extras.py:241(getdoc)
        1    0.000    0.000    0.000    0.000 lists.py:33(ListHandler)
        4    0.000    0.000    0.000    0.000 os.py:678(__setitem__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
      200    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
       16    0.000    0.000    0.000    0.000 re.py:196(search)
        2    0.000    0.000    0.000    0.000 getlimits.py:398(_init)
        1    0.000    0.000    0.000    0.000 orthogonal.py:1(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
       64    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        2    0.000    0.000    0.000    0.000 {numpy.random.mtrand.sample}
      206    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      199    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constant.py:1(<module>)
    35/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1130    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      101    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
      205    0.000    0.000    0.000    0.000 inspect.py:2809(<genexpr>)
      218    0.000    0.000    0.000    0.000 inspect.py:487(getmro)
    13/12    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
        2    0.000    0.000    0.000    0.000 enum.py:785(_missing_)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
        8    0.000    0.000    0.000    0.000 core.py:7996(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
      293    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.000    0.000 typing.py:875(__class_getitem__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
        3    0.000    0.000    0.000    0.000 typing.py:674(__getitem__)
       47    0.000    0.000    0.000    0.000 os.py:740(encodekey)
        2    0.000    0.000    0.000    0.000 enum.py:792(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 data.py:1(<module>)
        2    0.000    0.000    0.000    0.000 framebuffer_no_attachments.py:12(_f)
        4    0.000    0.000    0.000    0.000 pathlib.py:649(_parse_args)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       53    0.000    0.000    0.000    0.000 enum.py:484(_find_data_type)
      620    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       67    0.000    0.000    0.000    0.000 __init__.py:2812(__getattr__)
       14    0.000    0.000    0.000    0.000 plugins.py:61(match)
        6    0.000    0.000    0.000    0.000 invalidate_subdata.py:12(_f)
        2    0.000    0.000    0.000    0.000 os.py:1098(add_dll_directory)
      100    0.000    0.000    0.000    0.000 linalg.py:134(_realType)
      693    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:372(__init__)
        8    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
       14    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
      100    0.000    0.000    0.000    0.000 {method 'conj' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
      205    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      327    0.000    0.000    0.000    0.000 converters.py:130(__init__)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8001(getdoc)
      308    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        6    0.000    0.000    0.000    0.000 program_interface_query.py:12(_f)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
       35    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        6    0.000    0.000    0.000    0.000 GL_2_1.py:12(_f)
       16    0.000    0.000    0.000    0.000 pkgutil.py:405(get_importer)
        1    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.000    0.000    0.000    0.000 base_events.py:384(BaseEventLoop)
        4    0.000    0.000    0.000    0.000 random.py:94(__init__)
      100    0.000    0.000    0.000    0.000 model.py:79(_updateVertices)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
